OBJECTID,VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,FullyVaccinated,FullVaccinatedCumulative,AtLeastOneDoseCumulative
1,2020/12/14 15:00:00+00,Baltimore                                         ,1,1,,0,,0,,,0,1
2,2020/12/15 15:00:00+00,Baltimore                                         ,2,3,1,1,,0,,,1,3
3,2020/12/16 15:00:00+00,Baltimore                                         ,122,125,,1,,0,,,1,125
4,2020/12/17 15:00:00+00,Baltimore                                         ,191,316,,1,,0,,,1,316
5,2020/12/18 15:00:00+00,Baltimore                                         ,444,760,1,2,,0,,,2,760
6,2020/12/19 15:00:00+00,Baltimore                                         ,137,897,,2,,0,,,2,897
7,2020/12/20 15:00:00+00,Baltimore                                         ,64,961,2,4,,0,,,4,961
8,2020/12/21 15:00:00+00,Baltimore                                         ,579,1540,,4,,0,,,4,1540
9,2020/12/22 15:00:00+00,Baltimore                                         ,1027,2567,,4,,0,,,4,2567
10,2020/12/23 15:00:00+00,Baltimore                                         ,1172,3739,1,5,,0,,,5,3739
11,2020/12/24 15:00:00+00,Baltimore                                         ,623,4362,1,6,,0,,,6,4362
12,2020/12/25 15:00:00+00,Baltimore                                         ,33,4395,,6,,0,,,6,4395
13,2020/12/26 15:00:00+00,Baltimore                                         ,304,4699,1,7,,0,,,7,4699
14,2020/12/27 15:00:00+00,Baltimore                                         ,318,5017,1,8,,0,,,8,5017
15,2020/12/28 15:00:00+00,Baltimore                                         ,1591,6608,5,13,,0,,,13,6608
16,2020/12/29 15:00:00+00,Baltimore                                         ,1991,8599,1,14,,0,,,14,8599
17,2020/12/30 15:00:00+00,Baltimore                                         ,1748,10347,3,17,,0,,,17,10347
18,2020/12/31 15:00:00+00,Baltimore                                         ,1055,11402,,17,,0,,,17,11402
19,2021/01/01 15:00:00+00,Baltimore                                         ,257,11659,1,18,,0,,,18,11659
20,2021/01/02 15:00:00+00,Baltimore                                         ,570,12229,4,22,,0,,,22,12229
21,2021/01/03 15:00:00+00,Baltimore                                         ,914,13143,15,37,,0,,,37,13143
22,2021/01/04 15:00:00+00,Baltimore                                         ,2022,15165,61,98,,0,,,98,15165
23,2021/01/05 15:00:00+00,Baltimore                                         ,2171,17336,90,188,,0,,,188,17336
24,2021/01/06 15:00:00+00,Baltimore                                         ,2224,19560,187,375,,0,,,375,19560
25,2021/01/07 15:00:00+00,Baltimore                                         ,2429,21989,294,669,,0,,,669,21989
26,2021/01/08 15:00:00+00,Baltimore                                         ,2151,24140,349,1018,,0,,,1018,24140
27,2021/01/09 15:00:00+00,Baltimore                                         ,381,24521,138,1156,,0,,,1156,24521
28,2021/01/10 15:00:00+00,Baltimore                                         ,382,24903,41,1197,,0,,,1197,24903
29,2021/01/11 15:00:00+00,Baltimore                                         ,3378,28281,543,1740,,0,,,1740,28281
30,2021/01/12 15:00:00+00,Baltimore                                         ,3946,32227,907,2647,,0,,,2647,32227
31,2021/01/13 15:00:00+00,Baltimore                                         ,3184,35411,885,3532,,0,,,3532,35411
32,2021/01/14 15:00:00+00,Baltimore                                         ,2850,38261,387,3919,,0,,,3919,38261
33,2021/01/15 15:00:00+00,Baltimore                                         ,2096,40357,248,4167,,0,,,4167,40357
34,2021/01/16 15:00:00+00,Baltimore                                         ,653,41010,257,4424,,0,,,4424,41010
35,2021/01/17 15:00:00+00,Baltimore                                         ,435,41445,283,4707,,0,,,4707,41445
36,2021/01/18 15:00:00+00,Baltimore                                         ,878,42323,267,4974,,0,,,4974,42323
37,2021/01/19 15:00:00+00,Baltimore                                         ,3369,45692,984,5958,,0,,,5958,45692
38,2021/01/20 15:00:00+00,Baltimore                                         ,3806,49498,834,6792,,0,,,6792,49498
39,2021/01/21 15:00:00+00,Baltimore                                         ,3714,53212,715,7507,,0,,,7507,53212
40,2021/01/22 15:00:00+00,Baltimore                                         ,4647,57859,596,8103,,0,,,8103,57859
41,2021/01/23 15:00:00+00,Baltimore                                         ,1292,59151,306,8409,,0,,,8409,59151
42,2021/01/24 15:00:00+00,Baltimore                                         ,288,59439,520,8929,,0,,,8929,59439
43,2021/01/25 15:00:00+00,Baltimore                                         ,3149,62588,1636,10565,,0,,,10565,62588
44,2021/01/26 15:00:00+00,Baltimore                                         ,2492,65080,1743,12308,,0,,,12308,65080
45,2021/01/27 15:00:00+00,Baltimore                                         ,4026,69106,1819,14127,,0,,,14127,69106
46,2021/01/28 15:00:00+00,Baltimore                                         ,2615,71721,1392,15519,,0,,,15519,71721
47,2021/01/29 15:00:00+00,Baltimore                                         ,2303,74024,1429,16948,,0,,,16948,74024
48,2021/01/30 15:00:00+00,Baltimore                                         ,3333,77357,419,17367,,0,,,17367,77357
49,2021/01/31 15:00:00+00,Baltimore                                         ,566,77923,213,17580,,0,,,17580,77923
50,2021/02/01 15:00:00+00,Baltimore                                         ,1374,79297,939,18519,,0,,,18519,79297
51,2021/02/02 15:00:00+00,Baltimore                                         ,1244,80541,2459,20978,,0,,,20978,80541
52,2021/02/03 15:00:00+00,Baltimore                                         ,1774,82315,3931,24909,,0,,,24909,82315
53,2021/02/04 15:00:00+00,Baltimore                                         ,2918,85233,2541,27450,,0,,,27450,85233
54,2021/02/05 15:00:00+00,Baltimore                                         ,3478,88711,2393,29843,,0,,,29843,88711
55,2021/02/06 15:00:00+00,Baltimore                                         ,3246,91957,623,30466,,0,,,30466,91957
56,2021/02/07 15:00:00+00,Baltimore                                         ,1515,93472,251,30717,,0,,,30717,93472
57,2021/02/08 15:00:00+00,Baltimore                                         ,2021,95493,2836,33553,,0,,,33553,95493
58,2021/02/09 15:00:00+00,Baltimore                                         ,1852,97345,2653,36206,,0,,,36206,97345
59,2021/02/10 15:00:00+00,Baltimore                                         ,2310,99655,3061,39267,,0,,,39267,99655
60,2021/02/11 15:00:00+00,Baltimore                                         ,3131,102786,3216,42483,,0,,,42483,102786
61,2021/02/12 15:00:00+00,Baltimore                                         ,2866,105652,2149,44632,,0,,,44632,105652
62,2021/02/13 15:00:00+00,Baltimore                                         ,3211,108863,751,45383,,0,,,45383,108863
63,2021/02/14 15:00:00+00,Baltimore                                         ,668,109531,220,45603,,0,,,45603,109531
64,2021/02/15 15:00:00+00,Baltimore                                         ,1188,110719,3556,49159,,0,,,49159,110719
65,2021/02/16 15:00:00+00,Baltimore                                         ,1640,112359,4331,53490,,0,,,53490,112359
66,2021/02/17 15:00:00+00,Baltimore                                         ,1631,113990,4278,57768,,0,,,57768,113990
67,2021/02/18 15:00:00+00,Baltimore                                         ,350,114340,549,58317,,0,,,58317,114340
68,2021/02/19 15:00:00+00,Baltimore                                         ,1036,115376,2559,60876,,0,,,60876,115376
69,2021/02/20 15:00:00+00,Baltimore                                         ,1303,116679,3390,64266,,0,,,64266,116679
70,2021/02/21 15:00:00+00,Baltimore                                         ,546,117225,677,64943,,0,,,64943,117225
71,2021/02/22 15:00:00+00,Baltimore                                         ,896,118121,2857,67800,,0,,,67800,118121
72,2021/02/23 15:00:00+00,Baltimore                                         ,3178,121299,1830,69630,,0,,,69630,121299
73,2021/02/24 15:00:00+00,Baltimore                                         ,3152,124451,2121,71751,,0,,,71751,124451
74,2021/02/25 15:00:00+00,Baltimore                                         ,1877,126328,4384,76135,,0,,,76135,126328
75,2021/02/26 15:00:00+00,Baltimore                                         ,3526,129854,4508,80643,,0,,,80643,129854
76,2021/02/27 15:00:00+00,Baltimore                                         ,2126,131980,3023,83666,,0,,,83666,131980
77,2021/02/28 15:00:00+00,Baltimore                                         ,1951,133931,788,84454,,0,,,84454,133931
78,2021/03/01 15:00:00+00,Baltimore                                         ,3929,137860,1596,86050,,0,,,86050,137860
79,2021/03/02 15:00:00+00,Baltimore                                         ,2596,140456,1931,87981,1,1,2597,1932,87982,140457
80,2021/03/03 15:00:00+00,Baltimore                                         ,4865,145321,1977,89958,3,4,4868,1980,89962,145325
81,2021/03/04 15:00:00+00,Baltimore                                         ,4448,149769,3010,92968,753,757,5201,3763,93725,150526
82,2021/03/05 15:00:00+00,Baltimore                                         ,3328,153097,3141,96109,588,1345,3916,3729,97454,154442
83,2021/03/06 15:00:00+00,Baltimore                                         ,2150,155247,2661,98770,787,2132,2937,3448,100902,157379
84,2021/03/07 15:00:00+00,Baltimore                                         ,1748,156995,604,99374,1594,3726,3342,2198,103100,160721
85,2021/03/08 15:00:00+00,Baltimore                                         ,3924,160919,757,100131,1020,4746,4944,1777,104877,165665
86,2021/03/09 15:00:00+00,Baltimore                                         ,2948,163867,1262,101393,961,5707,3909,2223,107100,169574
87,2021/03/10 15:00:00+00,Baltimore                                         ,4446,168313,1513,102906,1124,6831,5570,2637,109737,175144
88,2021/03/11 15:00:00+00,Baltimore                                         ,4284,172597,1492,104398,313,7144,4597,1805,111542,179741
89,2021/03/12 15:00:00+00,Baltimore                                         ,4754,177351,1978,106376,164,7308,4918,2142,113684,184659
90,2021/03/13 15:00:00+00,Baltimore                                         ,3821,181172,1312,107688,69,7377,3890,1381,115065,188549
91,2021/03/14 15:00:00+00,Baltimore                                         ,2423,183595,834,108522,27,7404,2450,861,115926,190999
92,2021/03/15 15:00:00+00,Baltimore                                         ,4785,188380,1231,109753,27,7431,4812,1258,117184,195811
93,2021/03/16 15:00:00+00,Baltimore                                         ,3422,191802,1159,110912,98,7529,3520,1257,118441,199331
94,2021/03/17 15:00:00+00,Baltimore                                         ,5587,197389,1339,112251,207,7736,5794,1546,119987,205125
95,2021/03/18 15:00:00+00,Baltimore                                         ,6473,203862,1383,113634,138,7874,6611,1521,121508,211736
96,2021/03/19 15:00:00+00,Baltimore                                         ,4954,208816,1676,115310,139,8013,5093,1815,123323,216829
97,2021/03/20 15:00:00+00,Baltimore                                         ,2950,211766,1198,116508,103,8116,3053,1301,124624,219882
98,2021/03/21 15:00:00+00,Baltimore                                         ,2796,214562,849,117357,78,8194,2874,927,125551,222756
99,2021/03/22 15:00:00+00,Baltimore                                         ,4453,219015,1322,118679,98,8292,4551,1420,126971,227307
100,2021/03/23 15:00:00+00,Baltimore                                         ,4159,223174,3453,122132,156,8448,4315,3609,130580,231622
101,2021/03/24 15:00:00+00,Baltimore                                         ,3847,227021,3855,125987,174,8622,4021,4029,134609,235643
102,2021/03/25 15:00:00+00,Baltimore                                         ,6590,233611,2354,128341,217,8839,6807,2571,137180,242450
103,2021/03/26 15:00:00+00,Baltimore                                         ,3864,237475,3380,131721,148,8987,4012,3528,140708,246462
104,2021/03/27 15:00:00+00,Baltimore                                         ,5215,242690,1758,133479,132,9119,5347,1890,142598,251809
105,2021/03/28 15:00:00+00,Baltimore                                         ,1967,244657,1487,134966,47,9166,2014,1534,144132,253823
106,2021/03/29 15:00:00+00,Baltimore                                         ,2545,247202,3966,138932,122,9288,2667,4088,148220,256490
107,2021/03/30 15:00:00+00,Baltimore                                         ,6412,253614,3560,142492,224,9512,6636,3784,152004,263126
108,2021/03/31 15:00:00+00,Baltimore                                         ,3976,257590,5228,147720,401,9913,4377,5629,157633,267503
109,2021/04/01 15:00:00+00,Baltimore                                         ,5868,263458,5846,153566,501,10414,6369,6347,163980,273872
110,2021/04/02 15:00:00+00,Baltimore                                         ,3423,266881,3740,157306,600,11014,4023,4340,168320,277895
111,2021/04/03 15:00:00+00,Baltimore                                         ,2400,269281,2446,159752,309,11323,2709,2755,171075,280604
112,2021/04/04 15:00:00+00,Baltimore                                         ,1122,270403,1249,161001,107,11430,1229,1356,172431,281833
113,2021/04/05 15:00:00+00,Baltimore                                         ,2826,273229,4212,165213,871,12301,3697,5083,177514,285530
114,2021/04/06 15:00:00+00,Baltimore                                         ,7201,280430,3293,168506,1237,13538,8438,4530,182044,293968
115,2021/04/07 15:00:00+00,Baltimore                                         ,3305,283735,4971,173477,1535,15073,4840,6506,188550,298808
